student,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25
28,2,2,1,1,1,0,2,0,0,2,1,2,2,1,2,1,0,2,2,0,1,2,0,1,1
29,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,2,2,1,1,0,2,0,0
30,1,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,2,2,0,1,2,1,0,0
31,2,2,1,1,0,1,1,1,1,2,2,2,1,0,1,1,1,2,2,1,2,1,1,1,1
32,1,2,1,0,0,1,0,0,1,1,2,2,2,1,1,0,1,2,1,0,2,2,0,2,1
33,2,2,1,2,0,2,1,2,1,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,1
34,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
35,1,1,1,0,2,1,1,0,1,1,1,2,2,1,1,1,1,2,2,0,1,1,1,1,1
36,1,1,1,0,2,0,1,0,0,1,1,2,2,1,1,1,1,2,2,0,1,1,1,1,1
37,1,2,1,0,0,1,0,0,1,2,1,2,2,1,1,1,1,2,2,0,1,2,0,2,1
38,2,2,1,1,0,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,1
39,2,2,2,1,0,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,0,2,2
40,2,2,2,1,0,1,1,0,2,2,2,2,2,2,2,1,2,2,2,1,2,2,0,2,2
41,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
42,2,1,2,1,0,1,1,1,1,2,1,2,2,2,2,1,1,2,2,0,1,1,0,2,1
43,2,2,2,0,1,1,2,0,2,2,2,2,2,1,2,1,2,2,2,0,2,2,0,2,1
44,1,2,1,0,0,2,1,0,1,2,2,1,2,2,1,1,0,2,2,0,1,1,0,2,1
45,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2
46,2,2,0,0,0,2,0,0,0,2,2,2,2,0,0,0,2,2,2,1,2,2,0,1,0
47,1,1,1,0,2,2,0,1,1,2,2,1,2,1,1,1,0,2,2,0,1,0,0,0,0
48,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,0,2,2
49,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,2,1,1,1,1,1,1,2,1,0
50,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2
51,1,2,1,0,0,2,1,0,2,2,2,2,2,2,2,1,1,2,2,0,2,1,0,2,2
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
53,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,2,1,0,1,0,0,0,0
54,1,1,1,1,0,2,1,1,2,1,1,2,2,1,1,2,1,2,2,0,2,1,0,1,1
55,1,0,1,0,0,1,0,0,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,0
56,2,2,2,1,0,1,2,0,1,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2,2
57,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2
58,1,2,2,1,0,1,0,1,2,2,2,2,2,2,2,1,2,2,2,0,2,1,0,2,1
59,2,2,2,1,0,2,1,1,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2
60,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,0,2,1
61,2,1,1,1,0,1,0,0,2,2,1,2,2,1,1,1,1,2,2,0,1,1,0,2,2
62,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2,0,2,0,0,0,0
63,1,2,1,1,0,1,0,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,0,1,0
64,2,2,1,0,0,2,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,0,1,1
65,1,2,1,1,2,1,1,0,0,2,2,2,2,0,1,2,1,2,2,1,2,1,2,0,0
66,1,2,0,1,0,1,0,0,1,2,2,2,2,1,2,0,2,2,2,0,2,2,0,2,1
67,1,2,1,1,0,0,1,0,0,1,2,1,2,1,2,1,2,2,2,1,2,1,0,1,2
68,1,2,0,0,0,1,0,1,0,2,1,2,0,1,2,0,0,2,2,0,0,1,0,1,0
69,1,2,1,0,0,1,0,1,2,2,2,2,2,1,2,2,2,2,2,0,2,1,0,2,1
70,2,2,2,2,0,2,2,0,1,2,2,2,2,1,2,2,2,2,2,0,2,2,0,2,1
71,2,2,0,1,2,2,2,0,0,1,2,2,0,0,2,2,2,2,0,2,2,2,2,0,1
72,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,2,1,2,0,0,2,0,1
73,2,0,1,2,0,1,0,1,2,2,2,1,0,2,0,1,1,0,2,2,0,2,0,2,2
74,2,2,2,0,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,1,2
75,1,2,0,0,1,1,0,1,1,2,1,2,2,2,2,1,0,2,2,0,2,0,0,1,0
