"student","subgroup","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20"
316,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1
317,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
318,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
319,2,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1
320,2,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0
321,2,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0
322,2,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
323,2,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1
324,2,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1
325,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
326,2,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
327,2,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1
328,2,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0
329,2,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1
330,2,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
331,2,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1
332,2,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0
333,2,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1
334,2,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0
335,2,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
336,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
337,2,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1
338,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
339,2,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0
340,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0
341,2,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
342,2,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1
343,2,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1
344,2,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
345,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
346,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
347,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
348,2,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1
349,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
350,2,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0
